Sr No.	Node name	k	EF	EUF	RoF	NCF
1	EGFR	1	1	1	1	1
2	ERK1/2	1	1	1	1	1
3	PI3K	2	2	2	2	2
4	AKT	1	1	1	1	1
5	GSK3_beta	1	1	1	1	1
6	MDM2	2	3	1	1	1
7	TP53	3	54	7	6	6
8	PTEN	1	1	1	1	1
9	PARP1	1	1	1	1	1
10	BRCA1	1	1	1	1	1
11	BCL_2	1	1	1	1	1
12	BAX	2	2	2	2	2
13	CYCD1	4	16148	114	52	46
Total			10463904	3192	1248	1104
Sampled			True	False	False	False
