Sr No.	Node name	k	EF	EUF	RoF	NCF
1	GATA_2	4	16148	55	24	21
2	GATA_1	4	8046	57	26	23
3	FOG_1	1	1	1	1	1
4	EKLF	2	2	1	1	1
5	Fli_1	2	2	1	1	1
6	SCL	2	2	2	2	2
7	C/EBP_alpha	4	16148	114	52	46
8	PU_1	4	16149	105	44	38
9	cJun	2	2	1	1	1
10	EgrNab	3	27	6	5	5
11	Gfi_1	2	2	1	1	1
Total			29273650720346317824	450311400	14277120	8442840
Sampled			True	True	True	True
